company,ticker,cik,event_filing_date,event_type,person_name,title,effective_date,earnings_filing_date,period,revenue_reported,eps_diluted,net_income,days_to_nearest_earnings,event_timing
Apple Inc.,AAPL,0000320193,2026-04-20,departure,Tim Cook,Chief Executive Officer,2026-09-01,2026-04-30,fiscal 2026 second quarter,111184,2.01,29578,10,before earnings
Apple Inc.,AAPL,0000320193,2026-04-20,appointment,John Ternus,Chief Executive Officer,NOT_FOUND,2026-04-30,fiscal 2026 second quarter,111184,2.01,29578,10,before earnings
Apple Inc.,AAPL,0000320193,2026-01-02,appointment,Ben Borders,Principal Accounting Officer,2026-01-01,2026-01-29,fiscal 2026 first quarter,143756,2.84,42097,27,before earnings
Apple Inc.,AAPL,0000320193,2025-12-05,appointment,Jennifer Newstead,NOT_FOUND,NOT_FOUND,2025-10-30,fiscal 2025 fourth quarter,102466,1.85,27466,36,after earnings
Apple Inc.,AAPL,0000320193,2025-12-05,departure,Kate Adams,NOT_FOUND,NOT_FOUND,2025-10-30,fiscal 2025 fourth quarter,102466,1.85,27466,36,after earnings
Microsoft Corporation,MSFT,0000789019,2026-06-05,departure,Reid Hoffman,Member of the Board of Directors of Microsoft Corporation,NOT_FOUND,2026-04-29,"quarter ended March 31, 2026",82886,4.27,31800,37,after earnings
Microsoft Corporation,MSFT,0000789019,2026-05-14,appointment,Carmine Di Sibio,NOT_FOUND,2026-05-13,2026-04-29,"quarter ended March 31, 2026",82886,4.27,31800,15,after earnings
Microsoft Corporation,MSFT,0000789019,2025-12-08,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,2025-10-29,"quarter ended September 30, 2025",77673,3.72,27747,40,after earnings
Microsoft Corporation,MSFT,0000789019,2025-09-30,departure,Carlos A. Rodriguez,Member of the Board of Directors of Microsoft Corporation,NOT_FOUND,2025-10-29,"quarter ended September 30, 2025",77673,3.72,27747,29,before earnings
NVIDIA Corporation,NVDA,0001045810,2026-07-02,departure,Worldwide Field Operations,Executive Vice President,NOT_FOUND,2026-05-20,First Quarter Fiscal 2027,81600,2.39,58321,43,after earnings
NVIDIA Corporation,NVDA,0001045810,2026-07-02,appointment,Nicholas Parker,Executive Vice President,NOT_FOUND,2026-05-20,First Quarter Fiscal 2027,81600,2.39,58321,43,after earnings
NVIDIA Corporation,NVDA,0001045810,2026-05-08,appointment,Suzanne Nora Johnson,Director,2026-07-13,2026-05-20,First Quarter Fiscal 2027,81600,2.39,58321,12,before earnings
NVIDIA Corporation,NVDA,0001045810,2026-05-08,appointment,Nora Johnson,Director,2026-07-13,2026-05-20,First Quarter Fiscal 2027,81600,2.39,58321,12,before earnings
NVIDIA Corporation,NVDA,0001045810,2026-04-27,departure,Donald Robertson,Vice President,2026-05-04,2026-05-20,First Quarter Fiscal 2027,81600,2.39,58321,23,before earnings
NVIDIA Corporation,NVDA,0001045810,2026-04-27,appointment,Scott Gawel,NOT_FOUND,2026-05-04,2026-05-20,First Quarter Fiscal 2027,81600,2.39,58321,23,before earnings
