company,ticker,cik,filing_date,period,revenue_reported,eps_diluted,net_income
Apple Inc.,AAPL,0000320193,2026-07-30,fiscal 2026 third quarter,109417,2.02,29789
Apple Inc.,AAPL,0000320193,2026-04-30,fiscal 2026 second quarter,111184,2.01,29578
Apple Inc.,AAPL,0000320193,2026-01-29,fiscal 2026 first quarter,143756,2.84,42097
Apple Inc.,AAPL,0000320193,2025-10-30,fiscal 2025 fourth quarter,102466,1.85,27466
Microsoft Corporation,MSFT,0000789019,2026-07-29,"quarter ended June 30, 2026",90007,4.81,35800
Microsoft Corporation,MSFT,0000789019,2026-04-29,"quarter ended March 31, 2026",82886,4.27,31800
Microsoft Corporation,MSFT,0000789019,2026-01-28,"quarter ended December 31, 2025",81273,5.16,38458
Microsoft Corporation,MSFT,0000789019,2025-10-29,"quarter ended September 30, 2025",77673,3.72,27747
NVIDIA Corporation,NVDA,0001045810,2026-08-26,Second Quarter Fiscal 2027,96200,2.46,59688
NVIDIA Corporation,NVDA,0001045810,2026-05-20,First Quarter Fiscal 2027,81600,2.39,58321
NVIDIA Corporation,NVDA,0001045810,2026-02-25,"quarter ended January 25, 2026",68100,1.76,42960
NVIDIA Corporation,NVDA,0001045810,2025-11-19,Third Quarter Fiscal 2026,57000,1.3,31910
JPMorgan Chase & Co.,JPM,0000019617,2026-07-14,SECOND QUARTER 2026,57347,7.7,21200
JPMorgan Chase & Co.,JPM,0000019617,2026-04-14,FIRST QUARTER 2026,49836,5.94,16500
JPMorgan Chase & Co.,JPM,0000019617,2026-01-13,FOURTH QUARTER 2025,45798,4.63,13000
JPMorgan Chase & Co.,JPM,0000019617,2025-10-14,THIRD QUARTER 2025,46427,5.07,14400
Walmart Inc.,WMT,0000104169,2026-08-20,Q2 FY27,187937,0.8,6366
Walmart Inc.,WMT,0000104169,2026-05-21,Q1 FY27,177751,0.67,5330
Walmart Inc.,WMT,0000104169,2026-02-19,Q4 FY26,190656,0.53,4237
Walmart Inc.,WMT,0000104169,2025-11-20,Q3 FY26,179496,0.77,6143
